"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43128599999","2024-01-01T13:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0031,1","99999,9,9,N","005000,1,9,9","+0230,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10170,1,99999,9","05,1",,,"MET060METAR VOHS 011330Z 10006KT 5000 HZ FEW020 23/16 Q1017 NOSIG=",
"43128599999","2024-01-01T14:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0036,1","99999,9,9,N","005000,1,9,9","+0220,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10180,1,99999,9","05,1",,,"MET060METAR VOHS 011400Z 10007KT 5000 HZ FEW020 22/16 Q1018 NOSIG=",
"43128599999","2024-01-01T14:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","110,1,N,0026,1","99999,9,9,N","005000,1,9,9","+0220,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10180,1,99999,9","05,1",,,"MET060METAR VOHS 011430Z 11005KT 5000 HZ FEW020 22/16 Q1018 NOSIG=",
"43128599999","2024-01-01T15:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","110,1,N,0036,1","99999,9,9,N","005000,1,9,9","+0220,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10180,1,99999,9","05,1",,,"MET060METAR VOHS 011500Z 11007KT 5000 HZ FEW020 22/16 Q1018 NOSIG=",
"43128599999","2024-01-01T15:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0036,1","99999,9,9,N","005000,1,9,9","+0210,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10180,1,99999,9","05,1",,,"MET060METAR VOHS 011530Z 12007KT 5000 HZ FEW020 21/16 Q1018 NOSIG=",
"43128599999","2024-01-01T16:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","130,1,N,0036,1","99999,9,9,N","005000,1,9,9","+0210,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10180,1,99999,9","05,1",,,"MET060METAR VOHS 011600Z 13007KT 5000 HZ FEW020 21/16 Q1018 NOSIG=",
"43128599999","2024-01-01T16:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0036,1","99999,9,9,N","005000,1,9,9","+0200,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10190,1,99999,9","05,1",,,"MET060METAR VOHS 011630Z 12007KT 5000 HZ FEW020 20/16 Q1019 NOSIG=",
"43128599999","2024-01-01T17:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0036,1","99999,9,9,N","005000,1,9,9","+0190,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10180,1,99999,9","05,1",,,"MET060METAR VOHS 011700Z 12007KT 5000 HZ FEW020 19/16 Q1018 NOSIG=",
"43128599999","2024-01-01T17:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","110,1,N,0036,1","99999,9,9,N","004000,1,9,9","+0190,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10180,1,99999,9","05,1",,,"MET060METAR VOHS 011730Z 11007KT 4000 HZ FEW020 19/16 Q1018 NOSIG=",
"43128599999","2024-01-01T18:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0036,1","99999,9,9,N","004000,1,9,9","+0190,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10180,1,99999,9","05,1",,,"MET060METAR VOHS 011800Z 12007KT 4000 HZ FEW020 19/16 Q1018 NOSIG=",
