tmpf_c,dwpf_c,relh,drct,sknt,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,airport,hour,low_visibility,LATITUDE,LONGITUDE,ELEVATION,hour_of_day,day,month,wx_+SHRA,wx_+TSRA,wx_-SHRA,wx_-TSRA,"wx_-TSRA,fog","wx_-TSRA,haze",wx_BLDU,wx_Heavy DZ,wx_Heavy RA,wx_In the vicinity RA,wx_In the vicinity SH,wx_In the vicinity TS,wx_Light DZ,wx_Light RA,wx_Light TS,wx_MIFG,"wx_MIFG,fog",wx_Moderate BR,wx_Moderate DS,wx_Moderate DU,wx_Moderate DZ,wx_Moderate FG,wx_Moderate FU,wx_Moderate HZ,wx_Moderate RA,wx_Moderate TS,wx_NoWX,"wx_NoWX,fog","wx_NoWX,gusty","wx_NoWX,haze",wx_SHRA,"wx_SHRA,haze,tempo,gusty",wx_TSRA,temp_diff,turbulence
15,14,93,140,7,1017,0,7,0,1,1,1,800,999,999,999,2,1,1,17.2333333,78.4166666,617,1,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0
16,14,87,140,7,1017,0,7,0,1,1,1,800,999,999,999,2,1,1,17.2333333,78.4166666,617,1,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0
17,14,82,140,7,1018,0,7,0,1,1,1,800,999,999,999,2,2,1,17.2333333,78.4166666,617,2,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,0
17,16,93,140,7,1018,0,7,0,1,1,1,800,999,999,999,2,2,1,17.2333333,78.4166666,617,2,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0
18,17,93,130,5,1019,0,5,4,1,1,1,800,999,999,999,2,3,1,17.2333333,78.4166666,617,3,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0
19,17,88,130,8,1019,1,8,4,1,1,1,800,999,999,999,2,3,1,17.2333333,78.4166666,617,3,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0
21,19,88,130,10,1019,1,10,4,1,1,1,800,999,999,999,2,4,1,17.2333333,78.4166666,617,4,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0
22,20,88,100,8,1019,1,8,4,1,1,1,800,999,999,999,2,4,1,17.2333333,78.4166666,617,4,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0
23,20,83,90,10,1019,1,10,4,1,1,1,800,999,999,999,2,5,1,17.2333333,78.4166666,617,5,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,0
23,19,78,90,8,1019,1,8,4,1,1,1,800,999,999,999,2,5,1,17.2333333,78.4166666,617,5,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,0
24,19,73,90,8,1018,1,8,4,1,1,1,800,999,999,999,2,6,1,17.2333333,78.4166666,617,6,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,0
25,19,69,90,7,1017,1,7,4,1,1,1,800,999,999,999,2,6,1,17.2333333,78.4166666,617,6,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,0
25,18,65,90,7,1017,1,7,4,1,1,1,800,999,999,999,2,7,1,17.2333333,78.4166666,617,7,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7,0
26,18,61,100,8,1016,2,8,4,1,1,1,1000,999,999,999,2,7,0,17.2333333,78.4166666,617,7,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,8,0
26,17,57,100,8,1016,2,8,4,1,1,1,1000,999,999,999,2,8,0,17.2333333,78.4166666,617,8,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9,0
26,17,57,100,8,1015,2,8,4,1,1,1,1000,999,999,999,2,8,0,17.2333333,78.4166666,617,8,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9,0
27,16,50,110,10,1015,2,10,4,4,1,1,1000,10000,999,999,2,9,0,17.2333333,78.4166666,617,9,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,11,0
27,16,50,100,8,1014,2,8,4,4,1,1,1000,10000,999,999,2,9,0,17.2333333,78.4166666,617,9,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,11,0
27,15,47,110,9,1014,2,9,4,4,1,1,1000,10000,999,999,2,10,0,17.2333333,78.4166666,617,10,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,12,0
