year,month,day,airport,temp,dew,rh,mslp,pressure,visibility,wind_dir,wind_speed,gust_flag,dewpoint_spread,pressure_tendency,feel,low_visibil,high_humi,weather_f,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wx_+DZ,wx_+RA,wx_+TSRA,wx_-DZ,wx_-DZ BR,wx_-RA,wx_-TS,wx_-TSRA,wx_BR,wx_DZ,wx_HZ,wx_M,wx_MIFG,wx_RA,wx_TS,wx_TSRA,wx_VCRA,wx_VCRA -DZ,wx_VCTS,wx_VCTS RA,turbulence_risk
2024,1,1,1,23,16,64,1020,1017,3,100,6,0,7,0,73,0,0,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,21,16,68,1020,1018,3,100,7,0,6,0,71,0,0,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,21,16,68,1020,1018,3,100,7,0,6,0,71,0,0,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,21,16,68,1020,1018,3,110,5,0,6,0,71,0,0,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,21,16,68,1020,1018,3,110,5,0,6,0,71,0,0,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,21,16,68,1020,1018,3,110,7,0,5,0,71,0,0,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,21,16,68,1020,1018,3,110,7,0,6,0,71,0,0,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,21,16,73,1020,1018,3,120,7,0,5,0,69,0,0,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,21,16,73,1020,1018,3,120,7,0,6,0,69,0,0,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,21,16,73,1020,1018,3,130,7,0,5,0,69,0,0,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,21,16,73,1020,1018,3,130,7,0,4,0,69,0,0,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,20,16,77,1020,1019,3,120,7,0,5,0,68,0,0,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,20,16,77,1020,1019,3,120,7,0,4,0,68,0,0,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,19,16,82,1020,1018,3,120,7,0,3,0,66,0,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,19,16,82,1020,1018,3,120,7,0,3,0,66,0,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,19,16,82,1020,1018,2,110,7,0,3,0,66,0,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,19,16,82,1020,1018,2,110,7,0,3,0,66,0,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,19,16,82,1020,1018,2,120,7,0,3,0,66,0,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,19,16,82,1020,1018,2,120,7,0,2,0,66,0,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,18,16,88,1020,1017,2,120,7,0,3,0,64,0,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,18,16,88,1020,1017,2,120,7,0,2,0,64,0,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,18,16,88,1020,1017,2,120,7,0,2,0,64,0,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,18,16,88,1020,1017,2,120,7,0,2,0,64,0,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,18,16,88,1020,1017,2,120,7,0,2,0,64,0,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,18,16,88,1020,1017,2,120,7,0,2,0,64,0,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,17,16,93,1020,1017,2,130,7,0,1,0,62,0,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,17,16,93,1020,1017,2,130,7,0,1,0,62,0,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,17,16,93,1020,1017,1,140,7,0,1,0,62,1,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,17,16,93,1020,1017,1,140,7,0,1,0,62,1,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,17,16,93,1020,1016,1,140,7,0,1,0,62,1,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,17,16,93,1020,1016,1,140,7,0,1,0,62,1,1,0,2,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,16,15,93,1020,1016,1,110,4,0,1,0,60,1,1,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,16,15,93,1020,1016,1,110,4,0,1,0,60,1,1,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,16,15,93,1020,1016,1,120,4,0,1,0,60,1,1,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,16,15,93,1020,1016,1,120,4,0,1,0,60,1,1,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,15,14,93,1020,1016,1,120,3,0,1,0,59,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,15,14,93,1020,1016,1,0,3,0,1,0,59,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,15,14,93,1020,1016,0,100,4,0,1,0,59,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,15,14,93,1020,1016,0,100,4,0,1,0,59,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,15,14,93,1020,1016,0,120,4,0,1,0,59,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,15,14,93,1020,1016,0,120,4,0,1,0,59,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,16,14,87,1020,1017,0,120,4,0,2,0,60,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2024,1,2,1,16,14,87,1020,1017,0,120,4,0,1,0,60,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2024,1,2,1,15,14,93,1020,1017,0,140,4,0,2,0,59,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2024,1,2,1,15,14,93,1020,1017,0,140,4,0,1,0,59,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2024,1,2,1,15,14,93,1020,1017,0,140,7,0,1,0,59,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2024,1,2,1,15,14,93,1020,1017,0,140,7,0,2,0,59,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2024,1,2,1,16,14,87,1020,1017,0,140,7,0,1,0,60,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2024,1,2,1,16,14,87,1020,1017,0,140,7,0,2,0,60,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2024,1,2,1,17,14,82,1020,1018,0,140,7,0,3,0,62,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2024,1,2,1,17,14,82,1020,1018,0,140,7,0,1,0,62,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2024,1,2,1,17,16,93,1020,1018,0,140,7,0,3,0,62,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2024,1,2,1,17,16,93,1020,1018,0,140,7,0,1,0,62,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2024,1,2,1,18,17,93,1020,1019,0,130,5,0,1,0,64,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,18,17,93,1020,1019,0,130,5,0,2,0,64,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,19,17,88,1020,1019,1,130,8,0,1,0,66,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,19,17,88,1020,1019,1,130,8,0,2,0,66,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,21,19,88,1020,1019,1,130,10,0,2,0,69,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,21,19,88,1020,1019,1,130,10,0,2,0,69,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,21,20,88,1020,1019,1,100,8,0,2,0,71,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,21,20,88,1020,1019,1,100,8,0,2,0,71,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,23,20,83,1020,1019,1,90,10,0,3,0,73,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,23,20,83,1020,1019,1,90,10,0,4,0,73,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,23,19,78,1020,1019,1,90,8,0,3,0,73,1,0,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,23,19,78,1020,1019,1,90,8,0,4,0,73,1,0,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,24,19,73,1020,1018,1,90,8,0,6,0,75,1,0,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,24,19,73,1020,1018,1,90,8,0,5,0,75,1,0,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,25,19,69,1020,1017,1,90,7,0,6,0,77,1,0,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,25,19,69,1020,1017,1,90,7,0,5,0,77,1,0,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,25,18,65,1020,1017,1,90,7,0,7,0,77,1,0,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,25,18,65,1020,1017,1,90,7,0,8,0,77,1,0,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2024,1,2,1,26,18,61,1020,1016,2,100,8,0,7,0,78,0,0,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,2,1,26,18,61,1020,1016,2,100,8,0,8,0,78,0,0,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,2,1,26,17,57,1020,1016,2,100,8,0,9,0,78,0,0,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
